,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
1501,1511,C42,Rated Bullet tournament https://lichess.org/tournament/iSxLvmX0,Russian Game: Urusov Gambit,0-1,Time forfeit,60+0,1261,,,,Bullet,Russian Game,2640,-250,1386.0
1503,1454,D06,Rated Bullet game,Queen's Gambit,1-0,Normal,60+0,1447,,,,Bullet,Queen's Gambit,151,-7,1450.5
1510,1724,B01,Rated UltraBullet tournament https://lichess.org/tournament/RD0APSpf,Scandinavian Defense,1-0,Time forfeit,15+0,1500,,,,Bullet,Scandinavian Defense,7890,-224,1612.0
1517,1403,D06,Rated Bullet game,Queen's Gambit Refused: Marshall Defense,1-0,Time forfeit,60+0,1436,,,,Bullet,Queen's Gambit Declined,2704,33,1419.5
1522,1625,A25,Rated Bullet game,"English Opening: King's English Variation, Reversed Closed Sicilian",1-0,Time forfeit,60+0,1647,,,,Bullet,English Opening,7494,22,1636.0
1549,1591,C00,Rated Bullet game,French Defense: King's Indian Attack,1-0,Normal,60+0,1564,,,,Bullet,French Defense,13036,-27,1577.5
1571,1540,C53,Rated Bullet game,"Italian Game: Classical Variation, Albin Gambit",0-1,Normal,60+0,1545,,,,Bullet,Italian Game,8617,5,1542.5
1576,1311,C46,Rated Bullet game,Four Knights Game: Halloween Gambit,1-0,Normal,60+0,1446,,,,Bullet,Four Knights Game,3524,135,1378.5
1585,1660,B25,Rated Bullet tournament https://lichess.org/tournament/MrnrM72h,"Sicilian Defense: Closed Variation, Traditional",1-0,Time forfeit,60+0,1677,,,,Bullet,Sicilian Defense,27238,17,1668.5
1599,1505,B20,Rated Bullet tournament https://lichess.org/tournament/W8T9y8Gk,Sicilian Defense: Bowdler Attack,1-0,Normal,120+0,1761,,,,Bullet,Sicilian Defense,27238,256,1633.0
1613,1571,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,0-1,Normal,60+0,1597,,,,Bullet,Scandinavian Defense,7890,26,1584.0
1628,1483,C20,Rated Bullet game,King's Pawn Game: King's Head Opening #2,1-0,Normal,60+0,1492,,,,Bullet,King's Pawn Game,6903,9,1487.5
1658,1515,B06,Rated Bullet game,Robatsch (Modern) Defense,1-0,Normal,60+0,1530,,,,Bullet,Robatsch (Modern) Defense,867,15,1522.5
1670,1453,B02,Rated Bullet game,Alekhine Defense: Krejcik Variation,1-0,Normal,60+0,1437,,,,Bullet,Alekhine Defense,2101,-16,1445.0
1681,1332,C00,Rated Bullet game,French Defense: Normal Variation,0-1,Time forfeit,120+1,1325,,,,Bullet,French Defense,13036,-7,1328.5
1703,1457,C00,Rated Bullet game,French Defense: Knight Variation,0-1,Normal,120+1,1398,,,,Bullet,French Defense,13036,-59,1427.5
