,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
3,2404,B06,Rated Bullet game,Modern Defense,0-1,Normal,60+0,2324,,FM,,Bullet,Modern Defense,3666,-80,2364.0
66,2032,A51,Rated Bullet game,Budapest Defense: Fajarowicz Variation,1-0,Normal,60+0,2023,,,,Bullet,Budapest Defense,335,-9,2027.5
68,1721,C21,Rated Bullet game,Center Game: Halasz-McDonnell Gambit,0-1,Normal,60+0,1768,,,,Bullet,Center Game,1393,47,1744.5
71,1889,A41,Rated Bullet tournament https://lichess.org/tournament/Rh8xK5i3,"Rat Defense: English Rat, Lisbon Gambit",0-1,Time forfeit,60+0,1753,,,,Bullet,Rat Defense,755,-136,1821.0
89,2039,C12,Rated Bullet game,French Defense: MacCutcheon Variation,0-1,Normal,60+0,1973,,,,Bullet,French Defense,13036,-66,2006.0
120,1895,A40,Rated Bullet game,Modern Defense,0-1,Normal,120+1,1981,,,,Bullet,Modern Defense,3666,86,1938.0
127,1700,B90,Rated Bullet game,Sicilian Defense: Najdorf Variation,1-0,Normal,60+0,1796,,,,Bullet,Sicilian Defense,27238,96,1748.0
142,2189,A00,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,Ware Opening,0-1,Time forfeit,60+0,2381,,IM,,Bullet,Ware Defense,185,192,2285.0
145,2219,C55,Rated Bullet game,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1-0,Time forfeit,120+1,2241,,,,Bullet,Italian Game,8617,22,2230.0
159,1933,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,60+0,1820,,,,Bullet,Horwitz Defense,2191,-113,1876.5
168,1931,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,0-1,Normal,60+0,1848,,,,Bullet,Scandinavian Defense,7890,-83,1889.5
197,1735,B19,Rated Bullet tournament https://lichess.org/tournament/vdvWuobL,"Caro-Kann Defense: Classical Variation, Seirawan Variation",1-0,Time forfeit,60+1,1836,,,,Bullet,Caro-Kann Defense,6878,101,1785.5
203,2252,A45,Rated Bullet tournament https://lichess.org/tournament/WlwPXAfI,Indian Game,1-0,Normal,60+0,2220,,,,Bullet,Indian Game,4090,-32,2236.0
231,1965,A10,Rated Bullet game,English Opening: Anglo-Scandinavian Defense,0-1,Time forfeit,60+0,1898,,,,Bullet,English Opening,7494,-67,1931.5
237,1683,C42,Rated Bullet game,"Russian Game: Classical Attack, Mason Variation",1-0,Normal,120+1,1806,,,,Bullet,Russian Game,2640,123,1744.5
244,2073,B00,Rated Bullet game,Owen Defense,1-0,Time forfeit,60+0,2068,,,,Bullet,Owen Defense,1829,-5,2070.5
247,1755,A00,Rated Bullet game,Van Geet Opening: Dunst-Perrenet Gambit,1-0,Normal,60+0,1732,,,,Bullet,Van Geet Opening,693,-23,1743.5
301,1798,B25,Rated Bullet game,"Sicilian Defense: Closed Variation, Traditional",0-1,Normal,60+0,1784,,,,Bullet,Sicilian Defense,27238,-14,1791.0
302,1715,B07,Rated Bullet game,Pirc Defense #4,0-1,Normal,60+0,1722,,,,Bullet,Pirc Defense,2814,7,1718.5
327,2157,C01,Rated Bullet game,"French Defense: Exchange Variation, Monte Carlo Variation",0-1,Normal,60+0,2175,,,,Bullet,French Defense,13036,18,2166.0
340,1968,A00,Rated Bullet game,Saragossa Opening,1-0,Time forfeit,60+0,1891,,,,Bullet,Saragossa Opening,513,-77,1929.5
489,2037,A36,Rated Bullet game,"English Opening: Symmetrical Variation, Fianchetto Variation",1-0,Normal,60+0,1946,,,,Bullet,English Opening,7494,-91,1991.5
556,1823,C02,Rated Bullet game,"French Defense: Advance Variation, Paulsen Attack",0-1,Time forfeit,120+1,1759,,,,Bullet,French Defense,13036,-64,1791.0
564,1951,C00,Rated Bullet tournament https://lichess.org/tournament/QLp882Pw,French Defense: Knight Variation,0-1,Time forfeit,60+0,2129,,,,Bullet,French Defense,13036,178,2040.0
582,2128,B07,Rated Bullet game,Pirc Defense #4,1-0,Time forfeit,30+0,1983,,,,Bullet,Pirc Defense,2814,-145,2055.5
600,1890,C21,Rated Bullet game,King's Pawn Game: Beyer Gambit,1-0,Normal,60+0,1935,,,,Bullet,King's Pawn Game,6903,45,1912.5
609,1934,B03,Rated Bullet game,Alekhine Defense: Exchange Variation,1-0,Normal,60+0,1833,,,,Bullet,Alekhine Defense,2101,-101,1883.5
612,1596,B00,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,Owen Defense,0-1,Normal,60+0,1859,,,,Bullet,Owen Defense,1829,263,1727.5
623,2011,A40,Rated Bullet game,"Englund Gambit Declined, Reversed Krebs",0-1,Normal,60+0,1901,,,,Bullet,Englund Gambit Declined,594,-110,1956.0
631,2224,A25,Rated Bullet tournament https://lichess.org/tournament/izbUUDuO,"English Opening: King's English Variation, Reversed Closed Sicilian",0-1,Normal,60+0,2031,,,,Bullet,English Opening,7494,-193,2127.5
645,2311,A45,Rated Bullet game,Indian Game: Omega Gambit,0-1,Normal,60+0,2200,,,,Bullet,Indian Game,4090,-111,2255.5
698,2087,A46,Rated Bullet game,Torre Attack,0-1,Normal,60+0,1935,,,,Bullet,Torre Attack,394,-152,2011.0
707,1904,D00,Rated UltraBullet tournament https://lichess.org/tournament/VOGK0mfP,Blackmar-Diemer Gambit,0-1,Time forfeit,15+0,1933,,,,Bullet,Blackmar-Diemer Gambit,631,29,1918.5
717,1849,B32,Rated Bullet game,Sicilian Defense: Loewenthal Variation,0-1,Normal,120+1,1732,,,,Bullet,Sicilian Defense,27238,-117,1790.5
746,1975,A01,Rated Bullet tournament https://lichess.org/tournament/mGqSUBt3,Nimzo-Larsen Attack,1/2-1/2,Normal,60+0,2200,,,,Bullet,Nimzo-Larsen Attack,2228,225,2087.5
761,2014,B00,Rated Bullet game,Owen Defense,1-0,Normal,60+0,1930,,,,Bullet,Owen Defense,1829,-84,1972.0
769,1917,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,1-0,Normal,60+0,1929,,,,Bullet,Scandinavian Defense,7890,12,1923.0
789,2535,A04,Rated Bullet game,Zukertort Opening: Kingside Fianchetto,0-1,Normal,60+0,2552,GM,,,Bullet,Zukertort Opening,3388,17,2543.5
793,1915,A02,Rated Bullet game,Bird Opening,0-1,Normal,30+1,1946,,,,Bullet,Bird Opening,1581,31,1930.5
841,1809,B23,Rated Bullet game,Sicilian Defense: Closed Variation,1-0,Normal,60+0,1826,,,,Bullet,Sicilian Defense,27238,17,1817.5
871,1807,A04,Rated Bullet game,Zukertort Opening: Herrstrom Gambit,0-1,Normal,30+0,1829,,,,Bullet,Zukertort Opening,3388,22,1818.0
889,2248,D02,Rated Bullet game,Queen's Pawn Game: Zukertort Variation,1-0,Time forfeit,60+0,2199,CM,,,Bullet,Queen's Pawn Game,13096,-49,2223.5
916,1742,D06,Rated Bullet game,"Queen's Gambit Refused: Baltic Defense, Pseudo-Slav",1-0,Time forfeit,120+0,1793,,,,Bullet,Queen's Gambit Declined,2704,51,1767.5
925,2301,A48,Rated Bullet game,Torre Attack,0-1,Normal,60+0,2423,,,,Bullet,Torre Attack,394,122,2362.0
928,1863,C00,Rated Bullet tournament https://lichess.org/tournament/8tAYgKUQ,French Defense #2,1-0,Normal,60+0,1683,,,,Bullet,French Defense,13036,-180,1773.0
959,1974,A48,Rated Bullet game,"Indian Game: Colle System, King's Indian Variation",1-0,Time forfeit,60+0,1910,,,,Bullet,Indian Game,4090,-64,1942.0
966,1853,C53,Rated Bullet game,"Italian Game: Classical Variation, La Bourdonnais Variation",1-0,Normal,60+0,1893,,,,Bullet,Italian Game,8617,40,1873.0
974,1916,C00,Rated Bullet game,French Defense: La Bourdonnais Variation,0-1,Time forfeit,60+0,1779,,,,Bullet,French Defense,13036,-137,1847.5
1071,1951,B30,Rated Bullet game,Sicilian Defense: Old Sicilian,1-0,Normal,60+0,1927,,,,Bullet,Sicilian Defense,27238,-24,1939.0
1112,2077,B22,Rated Bullet game,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",1-0,Normal,120+1,2134,,,,Bullet,Sicilian Defense,27238,57,2105.5
1132,1690,D02,Rated Bullet game,Queen's Pawn Game: Zukertort Variation,1-0,Normal,60+0,1869,,,,Bullet,Queen's Pawn Game,13096,179,1779.5
1174,2092,A10,Rated Bullet game,English Opening,1-0,Normal,60+0,2346,,,,Bullet,English Opening,7494,254,2219.0
1177,2350,A00,Rated Bullet game,Saragossa Opening,0-1,Normal,60+0,2086,,,,Bullet,Saragossa Opening,513,-264,2218.0
1205,1988,A40,Rated Bullet game,Horwitz Defense,0-1,Time forfeit,60+0,1978,,,,Bullet,Horwitz Defense,2191,-10,1983.0
1229,1905,B40,Rated Bullet game,Sicilian Defense: Smith-Morra Gambit Deferred,0-1,Time forfeit,0+1,2061,,,,Bullet,Sicilian Defense,27238,156,1983.0
1302,2066,B22,Rated Bullet game,"Sicilian Defense: Alapin Variation, Smith-Morra Declined",1-0,Time forfeit,120+1,2188,,,,Bullet,Sicilian Defense,27238,122,2127.0
1308,1654,B00,Rated Bullet game,Nimzowitsch Defense,1-0,Normal,60+0,1788,,,,Bullet,Nimzowitsch Defense,2364,134,1721.0
1310,2268,B23,Rated Bullet game,Sicilian Defense: Closed Variation,0-1,Normal,60+0,2486,,,,Bullet,Sicilian Defense,27238,218,2377.0
1348,2067,C00,Rated UltraBullet game,French Defense: Two Knights Variation,0-1,Time forfeit,15+0,1588,,,,Bullet,French Defense,13036,-479,1827.5
1357,1806,B01,Rated Bullet game,Scandinavian Defense,0-1,Time forfeit,60+0,1790,,,,Bullet,Scandinavian Defense,7890,-16,1798.0
1359,2302,B01,Rated Bullet game,Scandinavian Defense: Main Line,0-1,Time forfeit,60+0,2108,,,,Bullet,Scandinavian Defense,7890,-194,2205.0
1362,1663,B01,Rated Bullet game,Scandinavian Defense,1-0,Normal,60+0,1817,,,,Bullet,Scandinavian Defense,7890,154,1740.0
1369,1944,A40,Rated Bullet game,Queen's Pawn,0-1,Time forfeit,60+0,1657,,,,Bullet,Queen's Pawn Game,1407,-287,1800.5
1370,2387,B23,Rated Bullet tournament https://lichess.org/tournament/zjzU4Okh,Sicilian Defense: Grand Prix Attack,0-1,Normal,60+0,1971,,,,Bullet,Sicilian Defense,27238,-416,2179.0
1373,2133,A43,Rated Bullet game,Old Benoni Defense,0-1,Normal,60+0,2067,,,,Bullet,Old Benoni Defense,867,-66,2100.0
1415,2356,B00,Rated Bullet game,Nimzowitsch Defense: Kennedy Variation,1-0,Normal,60+0,2290,,,,Bullet,Nimzowitsch Defense,2364,-66,2323.0
1434,1929,C02,Rated Bullet game,French Defense: Advance Variation,1-0,Normal,120+1,1774,,,,Bullet,French Defense,13036,-155,1851.5
1449,1924,E32,Rated Bullet game,Nimzo-Indian Defense: Classical Variation,0-1,Normal,120+1,1780,,,,Bullet,Nimzo-Indian Defense,1319,-144,1852.0
1453,1717,A00,Rated Bullet game,Van Geet Opening,1-0,Normal,60+0,1811,,,,Bullet,Van Geet Opening,693,94,1764.0
1463,1818,A43,Rated Bullet game,Old Benoni Defense,0-1,Normal,120+1,1783,,,,Bullet,Old Benoni Defense,867,-35,1800.5
1487,1709,A00,Rated UltraBullet tournament https://lichess.org/tournament/RD0APSpf,Van't Kruijs Opening,1-0,Normal,15+0,1998,,,,Bullet,Van't Kruijs Opening,2719,289,1853.5
1489,1845,B07,Rated Bullet game,Pirc Defense #4,0-1,Normal,60+0,1863,,,,Bullet,Pirc Defense,2814,18,1854.0
1490,1802,D35,Rated Bullet game,Queen's Gambit Declined: Normal Defense,1-0,Time forfeit,30+0,1745,,,,Bullet,Queen's Gambit Declined,4145,-57,1773.5
1491,2278,B02,Rated Bullet game,Alekhine Defense: Two Pawn Attack,0-1,Normal,60+0,2085,,,,Bullet,Alekhine Defense,2101,-193,2181.5
1505,1747,D15,Rated Bullet game,Slav Defense: Three Knights Variation,0-1,Normal,120+1,1759,,,,Bullet,Slav Defense,2437,12,1753.0
1509,2207,A00,Rated Bullet game,Mieses Opening,0-1,Normal,60+0,2254,,,,Bullet,Mieses Opening,881,47,2230.5
1531,2323,C00,Rated Bullet game,French Defense: Queen's Knight,1-0,Normal,60+0,1928,,,,Bullet,French Defense,13036,-395,2125.5
1578,1352,A04,Rated Bullet tournament https://lichess.org/tournament/dsTXDQxG,Zukertort Opening: Dutch Variation,0-1,Time forfeit,120+0,2284,,FM,,Bullet,Zukertort Opening,3388,932,1818.0
1581,1870,A22,Rated Bullet tournament https://lichess.org/tournament/7qKd3fXL,"English Opening: King's English Variation, Two Knights Variation",1-0,Time forfeit,60+0,1972,,,,Bullet,English Opening,7494,102,1921.0
1586,1808,B20,Rated Bullet game,Sicilian Defense: Wing Gambit,0-1,Time forfeit,60+0,1818,,,,Bullet,Sicilian Defense,27238,10,1813.0
1596,2112,D35,Rated Bullet game,Queen's Gambit Declined: Exchange Variation,0-1,Normal,0+1,2104,,,,Bullet,Queen's Gambit Declined,4145,-8,2108.0
1672,1742,A08,Rated Bullet game,King's Indian Attack: Sicilian Variation,0-1,Time forfeit,60+0,1812,,,,Bullet,King's Indian Attack,802,70,1777.0
1688,1890,B28,Rated Bullet game,"Sicilian Defense: O'Kelly Variation, Venice System",1-0,Time forfeit,60+0,1830,,,,Bullet,Sicilian Defense,27238,-60,1860.0
1695,2069,B50,Rated Bullet game,"Sicilian Defense: Wing Gambit, Deferred Variation",1-0,Normal,60+0,2016,,,,Bullet,Sicilian Defense,27238,-53,2042.5
1730,1849,C55,Rated Bullet game,"Italian Game: Scotch Gambit, de Riviere Defense",1-0,Time forfeit,120+1,1841,,,,Bullet,Italian Game,8617,-8,1845.0
1749,2520,A01,Rated Bullet tournament https://lichess.org/tournament/zAVXqF23,Nimzo-Larsen Attack,0-1,Time forfeit,30+0,1932,,,,Bullet,Nimzo-Larsen Attack,2228,-588,2226.0
1757,1863,C40,Rated Bullet tournament https://lichess.org/tournament/zAVXqF23,"Latvian Gambit: Mayet Attack, Morgado Defense",1-0,Time forfeit,30+0,2524,,,,Bullet,Latvian Gambit,175,661,2193.5
1761,1749,B15,Rated Bullet game,Caro-Kann Defense,1-0,Normal,60+0,1755,,,,Bullet,Caro-Kann Defense,6878,6,1752.0
1775,1780,B30,Rated Bullet game,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0-1,Time forfeit,60+0,1786,,,,Bullet,Sicilian Defense,27238,6,1783.0
1791,2273,A49,Rated Bullet game,Indian Game: Przepiorka Variation,1-0,Time forfeit,60+0,2500,,,,Bullet,Indian Game,4090,227,2386.5
1820,1804,C30,Rated Bullet game,"King's Gambit Declined, Classical Variation",0-1,Normal,120+1,1909,,,,Bullet,King's Gambit Declined,743,105,1856.5
1844,1820,A40,Rated Bullet game,Queen's Pawn,0-1,Normal,60+0,1814,,,,Bullet,Queen's Pawn Game,1407,-6,1817.0
1846,1947,B06,Rated Bullet game,Modern Defense: Modern Pterodactyl,1-0,Normal,60+0,2160,,,,Bullet,Modern Defense,3666,213,2053.5
1865,1693,D94,Rated Bullet game,GrÃ¼nfeld Defense: Smyslov Defense,0-1,Normal,120+1,1710,,,,Bullet,GrÃ¼nfeld Defense,520,17,1701.5
1868,1868,B07,Rated Bullet game,Pirc Defense #5,1-0,Normal,60+0,1905,,,,Bullet,Pirc Defense,2814,37,1886.5
1870,1755,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,0-1,Time forfeit,60+0,1720,,,,Bullet,Scandinavian Defense,7890,-35,1737.5
1904,1800,A00,Rated Bullet game,Hungarian Opening: Catalan Formation,1-0,Time forfeit,60+0,1861,,,,Bullet,Hungarian Opening,2313,61,1830.5
1908,1662,A00,Rated Bullet game,Ware Opening,0-1,Normal,15+2,1771,,,,Bullet,Ware Defense,185,109,1716.5
1922,1713,D05,Rated Bullet game,Colle System,0-1,Normal,60+0,1753,,,,Bullet,Colle System,352,40,1733.0
1926,1947,B02,Rated Bullet game,Alekhine Defense,0-1,Normal,60+0,1683,,,,Bullet,Alekhine Defense,2101,-264,1815.0
1930,2365,A40,Rated Bullet tournament https://lichess.org/tournament/fiGdyB5E,Queen's Pawn,1-0,Time forfeit,60+0,1526,IM,,,Bullet,Queen's Pawn Game,1407,-839,1945.5
1931,1766,B73,Rated Bullet game,"Sicilian Defense: Dragon Variation, Classical Variation #2",1-0,Normal,120+1,1788,,,,Bullet,Sicilian Defense,27238,22,1777.0
1934,1832,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,60+0,1826,,,,Bullet,Horwitz Defense,2191,-6,1829.0
1938,1813,B04,Rated Bullet game,"Alekhine Defense: Modern Variation, Larsen Variation",1-0,Time forfeit,120+1,1809,,,,Bullet,Alekhine Defense,2101,-4,1811.0
1943,2180,E97,Rated Bullet game,"King's Indian Defense: Orthodox Variation, Bayonet Attack",0-1,Normal,60+1,2260,,,,Bullet,King's Indian Defense,2170,80,2220.0
1963,2248,B12,Rated Bullet game,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",1-0,Normal,60+1,2216,,,,Bullet,Caro-Kann Defense,6878,-32,2232.0
1994,1957,C42,Rated Bullet game,Russian Game: Urusov Gambit,0-1,Time forfeit,60+0,2005,,,,Bullet,Russian Game,2640,48,1981.0
2016,1888,B23,Rated Bullet tournament https://lichess.org/tournament/fiGdyB5E,Sicilian Defense: Closed #2,1-0,Time forfeit,60+0,2077,,,,Bullet,Sicilian Defense,27238,189,1982.5
2038,1762,C34,Rated Bullet game,"King's Gambit Accepted, Schallopp Defense",1-0,Normal,60+0,1752,,,,Bullet,King's Gambit Accepted,1706,-10,1757.0
2062,1885,D21,Rated Bullet tournament https://lichess.org/tournament/oT3UE29J,Queen's Gambit Accepted: Normal Variation,1-0,Normal,60+0,1977,,,,Bullet,Queen's Gambit Accepted,2590,92,1931.0
2065,2311,A04,Rated Bullet game,Zukertort Opening: Sicilian Invitation,1-0,Time forfeit,60+0,2675,,GM,,Bullet,Zukertort Opening,3388,364,2493.0
2076,1696,B01,Rated Bullet game,Scandinavian Defense: Mieses-Kotroc Variation,1-0,Normal,120+1,1715,,,,Bullet,Scandinavian Defense,7890,19,1705.5
2078,1822,B07,Rated Bullet game,Pirc Defense #5,0-1,Time forfeit,60+0,1857,,,,Bullet,Pirc Defense,2814,35,1839.5
2080,1808,A40,Rated Bullet game,Horwitz Defense,0-1,Normal,120+1,1775,,,,Bullet,Horwitz Defense,2191,-33,1791.5
2093,1829,B23,Rated Bullet game,Sicilian Defense: Closed Variation,1-0,Time forfeit,60+0,1799,,,,Bullet,Sicilian Defense,27238,-30,1814.0
2114,1890,A34,Rated Bullet tournament https://lichess.org/tournament/oT3UE29J,"English Opening: Symmetrical Variation, Normal Variation",1-0,Normal,60+0,2080,,,,Bullet,English Opening,7494,190,1985.0
2119,2230,A13,Rated Bullet tournament https://lichess.org/tournament/oT3UE29J,English Opening: Agincourt Defense #3,0-1,Normal,60+0,2247,,,,Bullet,English Opening,7494,17,2238.5
2131,1596,A01,Rated Bullet tournament https://lichess.org/tournament/oT3UE29J,Nimzo-Larsen Attack,1-0,Time forfeit,60+0,2243,,,,Bullet,Nimzo-Larsen Attack,2228,647,1919.5
2133,1890,E01,Rated Bullet tournament https://lichess.org/tournament/oT3UE29J,Catalan Opening,1-0,Time forfeit,60+0,2258,,,,Bullet,Catalan Opening,201,368,2074.0
2148,1764,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,0-1,Time forfeit,120+1,1763,,,,Bullet,Scandinavian Defense,7890,-1,1763.5
2191,1813,C00,Rated Bullet game,French Defense: Knight Variation,1-0,Normal,60+0,1809,,,,Bullet,French Defense,13036,-4,1811.0
2215,2529,C20,Rated Bullet game,King's Pawn Game: Leonardis Variation,1/2-1/2,Normal,60+0,2446,,,,Bullet,King's Pawn Game,6903,-83,2487.5
2219,1863,A00,Rated Bullet game,Hungarian Opening,1-0,Time forfeit,60+0,1747,,,,Bullet,Hungarian Opening,2313,-116,1805.0
2252,2140,C00,Rated Bullet game,French Defense: Wing Gambit,0-1,Normal,60+0,2263,,,,Bullet,French Defense,13036,123,2201.5
2271,1823,B10,Rated Bullet game,Caro-Kann Defense: Two Knights Attack,0-1,Normal,120+1,2114,,,,Bullet,Caro-Kann Defense,6878,291,1968.5
2281,1730,A01,Rated Bullet game,Nimzo-Larsen Attack: Modern Variation #3,1-0,Normal,120+1,1907,,,,Bullet,Nimzo-Larsen Attack,2228,177,1818.5
2316,1862,B01,Rated Bullet game,Scandinavian Defense: Schiller-Pytel Variation,1-0,Time forfeit,60+0,1878,,,,Bullet,Scandinavian Defense,7890,16,1870.0
2321,1921,A00,Rated Bullet game,Hungarian Opening: Slav Formation,0-1,Time forfeit,60+0,1921,,,,Bullet,Hungarian Opening,2313,0,1921.0
2359,1897,C25,Rated Bullet game,Vienna Game: Vienna Gambit,0-1,Normal,60+0,1902,,,,Bullet,Vienna Game,1849,5,1899.5
2387,1869,A00,Rated Bullet game,Polish Opening,1/2-1/2,Normal,120+1,1769,,,,Bullet,Polish Opening,733,-100,1819.0
2428,1909,B07,Rated Bullet game,Pirc Defense #5,0-1,Normal,120+1,1660,,,,Bullet,Pirc Defense,2814,-249,1784.5
2452,1802,B19,Rated Bullet game,"Caro-Kann Defense: Classical, 7...Nd7",0-1,Normal,120+1,1890,,,,Bullet,Caro-Kann Defense,6878,88,1846.0
2458,1792,A00,Rated Bullet game,Van't Kruijs Opening,1/2-1/2,Normal,120+1,1879,,,Re6,Bullet,Van't Kruijs Opening,2719,87,1835.5
2477,1796,B50,Rated Bullet tournament https://lichess.org/tournament/nJr04OK2,Sicilian Defense,0-1,Normal,120+0,1928,,,,Bullet,Sicilian Defense,27238,132,1862.0
2481,1860,A03,Rated Bullet game,Bird Opening: Dutch Variation,1-0,Normal,120+1,1807,,,,Bullet,Bird Opening,1581,-53,1833.5
2499,1990,B07,Rated Bullet game,Pirc Defense #5,0-1,Time forfeit,120+1,1921,,,,Bullet,Pirc Defense,2814,-69,1955.5
2526,1778,B01,Rated Bullet game,Scandinavian Defense,0-1,Time forfeit,60+0,1647,,,,Bullet,Scandinavian Defense,7890,-131,1712.5
2533,1785,A40,Rated Bullet game,Queen's Pawn,0-1,Normal,0+1,1876,,,,Bullet,Queen's Pawn Game,1407,91,1830.5
2552,1751,B32,Rated Bullet tournament https://lichess.org/tournament/nJr04OK2,Sicilian Defense: Open #3,0-1,Normal,120+0,2061,,,,Bullet,Sicilian Defense,27238,310,1906.0
2559,1873,D00,Rated Bullet game,Blackmar-Diemer Gambit,1-0,Time forfeit,60+0,1880,,,,Bullet,Blackmar-Diemer Gambit,631,7,1876.5
2573,2288,B07,Rated Bullet game,Pirc Defense #4,1-0,Normal,60+0,2251,,,,Bullet,Pirc Defense,2814,-37,2269.5
2582,1835,A40,Rated Bullet game,Queen's Pawn,0-1,Time forfeit,60+0,1853,,,,Bullet,Queen's Pawn Game,1407,18,1844.0
2595,2061,A45,Rated Bullet game,Indian Game,0-1,Normal,60+0,2035,,,,Bullet,Indian Game,4090,-26,2048.0
2600,1951,B18,Rated Bullet game,"Caro-Kann Defense: Classical Variation, Main Line",0-1,Normal,90+2,1942,,,,Bullet,Caro-Kann Defense,6878,-9,1946.5
2601,2155,A00,Rated Bullet game,Van't Kruijs Opening,1-0,Normal,60+0,2655,,GM,,Bullet,Van't Kruijs Opening,2719,500,2405.0
2668,1756,A41,Rated Bullet game,Old Indian Defense,1-0,Normal,60+0,1787,,,,Bullet,Old Indian Defense,506,31,1771.5
2683,2002,A17,Rated Bullet game,"English Opening: Anglo-Indian Defense, Hedgehog System",1-0,Normal,60+0,1958,,,,Bullet,English Opening,7494,-44,1980.0
2697,2065,A01,Rated Bullet game,Nimzo-Larsen Attack: Classical Variation,1-0,Time forfeit,120+1,1998,,,,Bullet,Nimzo-Larsen Attack,2228,-67,2031.5
2700,2081,B01,Rated Bullet game,Scandinavian Defense: Blackburne-Kloosterboer Gambit,1-0,Normal,60+0,2132,,,,Bullet,Scandinavian Defense,7890,51,2106.5
2714,2061,B50,Rated Bullet game,Sicilian Defense,1-0,Time forfeit,60+0,2081,,,,Bullet,Sicilian Defense,27238,20,2071.0
2734,1778,A06,Rated Bullet game,Zukertort Opening: Tennison Gambit,1-0,Normal,60+0,1664,,,,Bullet,Zukertort Opening,3388,-114,1721.0
2747,1905,B20,Rated Bullet game,Sicilian Defense: Bowdler Attack,0-1,Time forfeit,120+1,2059,,,,Bullet,Sicilian Defense,27238,154,1982.0
2759,1694,A00,Rated Bullet game,Van't Kruijs Opening,1-0,Time forfeit,60+0,1756,,,,Bullet,Van't Kruijs Opening,2719,62,1725.0
2827,1817,A45,Rated Bullet game,Indian Game,0-1,Time forfeit,60+0,1706,,,,Bullet,Indian Game,4090,-111,1761.5
2834,1696,A00,Rated Bullet game,Mieses Opening,0-1,Time forfeit,60+0,1729,,,,Bullet,Mieses Opening,881,33,1712.5
2839,2017,D01,Rated Bullet game,Queen's Pawn Game: Chigorin Variation,0-1,Normal,60+0,2002,,,,Bullet,Queen's Pawn Game,13096,-15,2009.5
2864,1971,D35,Rated Bullet game,"Queen's Gambit Declined: Exchange Variation, Positional Variation",1-0,Normal,120+1,1839,,,,Bullet,Queen's Gambit Declined,4145,-132,1905.0
2882,1803,B10,Rated Bullet game,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",0-1,Normal,120+1,1779,,,,Bullet,Caro-Kann Defense,6878,-24,1791.0
2931,1783,A43,Rated Bullet game,Benoni Defense: Old Benoni,0-1,Time forfeit,60+0,1773,,,,Bullet,Benoni Defense,1124,-10,1778.0
2936,1752,B50,Rated Bullet game,Sicilian Defense,1-0,Normal,60+0,1792,,,,Bullet,Sicilian Defense,27238,40,1772.0
2937,2118,B20,Rated Bullet game,Sicilian Defense: Mengarini Variation,1-0,Time forfeit,60+0,1937,,,,Bullet,Sicilian Defense,27238,-181,2027.5
2964,2169,A01,Rated Bullet game,Nimzo-Larsen Attack,0-1,Normal,120+1,2129,,,,Bullet,Nimzo-Larsen Attack,2228,-40,2149.0
2972,1995,B40,Rated Bullet game,Sicilian Defense: French Variation,0-1,Normal,60+0,1967,,,,Bullet,Sicilian Defense,27238,-28,1981.0
2985,1877,B21,Rated Bullet game,Sicilian Defense: Smith-Morra Gambit #2,0-1,Normal,60+0,1919,,,,Bullet,Sicilian Defense,27238,42,1898.0
3000,1829,C41,Rated Bullet game,Philidor Defense #2,0-1,Normal,60+0,1979,,,,Bullet,Philidor Defense,5391,150,1904.0
3009,1894,C36,Rated Bullet tournament https://lichess.org/tournament/ZZtPvL6Y,King's Gambit Accepted: Modern Defense #2,1-0,Normal,60+1,1603,,,,Bullet,King's Gambit Accepted,1706,-291,1748.5
3013,1964,A00,Rated Bullet game,Van't Kruijs Opening,1-0,Time forfeit,60+0,1844,,,,Bullet,Van't Kruijs Opening,2719,-120,1904.0
3017,1917,C11,Rated Bullet game,"French Defense: Classical Variation, Steinitz Variation",0-1,Time forfeit,60+0,2153,,,,Bullet,French Defense,13036,236,2035.0
3028,1700,A08,Rated Bullet game,King's Indian Attack: French Variation,1-0,Time forfeit,60+0,1725,,,,Bullet,King's Indian Attack,802,25,1712.5
3103,1735,A45,Rated Bullet game,Indian Game,0-1,Time forfeit,60+0,1718,,,,Bullet,Indian Game,4090,-17,1726.5
3112,1746,A40,Rated Bullet game,Horwitz Defense,1-0,Time forfeit,120+1,1677,,,,Bullet,Horwitz Defense,2191,-69,1711.5
3141,1926,B23,Rated Bullet game,Sicilian Defense: Closed #2,1-0,Normal,60+0,1900,,,,Bullet,Sicilian Defense,27238,-26,1913.0
