,BlackElo,ECO,Event,Opening,Result,Termination,TimeControl,WhiteElo,BlackTitle,WhiteTitle,Move_ply_200,Category,Opening_new,freq,ELO Diff,Ave ELO
184570,1885,C50,Rated Bullet game,Giuoco Piano,0-1,Normal,120+1,2121,,,,Bullet,Giuoco Piano,759,236,2003.0
184582,1900,B33,Rated Bullet game,Sicilian Defense: Open,1-0,Time forfeit,60+0,1886,,,,Bullet,Sicilian Defense,27238,-14,1893.0
184616,1788,C20,Rated Bullet game,King's Pawn Game: Leonardis Variation,1-0,Normal,60+0,1712,,,,Bullet,King's Pawn Game,6903,-76,1750.0
184622,1959,C00,Rated Bullet game,French Defense: Steinitz Attack,1-0,Normal,120+1,2068,,,,Bullet,French Defense,13036,109,2013.5
184663,1912,B11,Rated Bullet game,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",1-0,Normal,120+1,2091,,,,Bullet,Caro-Kann Defense,6878,179,2001.5
184700,1980,E61,Rated Bullet game,King's Indian Defense,0-1,Time forfeit,60+0,1791,,,,Bullet,King's Indian Defense,2170,-189,1885.5
184728,1577,C01,Rated Bullet game,French Defense: Exchange Variation,1-0,Time forfeit,120+1,1872,,,,Bullet,French Defense,13036,295,1724.5
184738,1741,C46,Rated Bullet game,Three Knights Opening,1-0,Normal,60+0,1727,,,,Bullet,Three Knights Opening,1268,-14,1734.0
184741,1689,C45,Rated Bullet game,Scotch Game: Schmidt Variation,0-1,Time forfeit,60+0,1802,,,,Bullet,Scotch Game,4227,113,1745.5
184743,1793,B20,Rated Bullet game,Sicilian Defense,0-1,Normal,120+1,1781,,,,Bullet,Sicilian Defense,27238,-12,1787.0
184748,1936,B01,Rated Bullet game,Scandinavian Defense: Modern Variation #2,1-0,Time forfeit,60+0,1883,,,,Bullet,Scandinavian Defense,7890,-53,1909.5
184753,1803,D10,Rated Bullet game,Slav Defense #2,1/2-1/2,Normal,45+3,1716,,,,Bullet,Slav Defense,2437,-87,1759.5
184777,1743,C00,Rated Bullet game,French Defense: King's Indian Attack,1-0,Normal,60+0,1750,,,,Bullet,French Defense,13036,7,1746.5
184785,2024,B00,Rated Bullet game,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",1-0,Normal,120+1,2103,,,,Bullet,Nimzowitsch Defense,2364,79,2063.5
184807,2207,D35,Rated Bullet game,Queen's Gambit Declined: Exchange Variation,1-0,Time forfeit,60+0,2255,,,,Bullet,Queen's Gambit Declined,4145,48,2231.0
184833,1798,A43,Rated Bullet game,Old Benoni Defense #2,0-1,Time forfeit,60+0,1802,,,,Bullet,Old Benoni Defense,867,4,1800.0
184873,1792,A00,Rated UltraBullet game,Saragossa Opening,1-0,Time forfeit,15+0,2002,,,,Bullet,Saragossa Opening,513,210,1897.0
184876,1654,A40,Rated UltraBullet game,Horwitz Defense,1-0,Time forfeit,15+0,1887,,,,Bullet,Horwitz Defense,2191,233,1770.5
184912,1952,B43,Rated Bullet game,"Sicilian Defense: Kan Variation, Knight Variation",1-0,Normal,60+0,1988,,,,Bullet,Sicilian Defense,27238,36,1970.0
184939,1979,A04,Rated UltraBullet tournament https://lichess.org/tournament/vE4dYm2T,Zukertort Opening: Pirc Invitation,0-1,Time forfeit,15+0,1700,,,,Bullet,Zukertort Opening,3388,-279,1839.5
184946,1961,A40,Rated Bullet game,Horwitz Defense,1-0,Normal,0+1,2002,,,,Bullet,Horwitz Defense,2191,41,1981.5
184949,1739,C57,Rated Bullet game,"Italian Game: Two Knights Defense, Fried Liver Attack",1-0,Normal,120+1,1775,,,,Bullet,Italian Game,8617,36,1757.0
184955,1691,B23,Rated Bullet game,Sicilian Defense: Closed,1-0,Normal,60+0,1714,,,,Bullet,Sicilian Defense,27238,23,1702.5
184957,1705,B13,Rated Bullet game,Caro-Kann Defense: Exchange Variation,1-0,Normal,120+1,1714,,,,Bullet,Caro-Kann Defense,6878,9,1709.5
184970,2004,A00,Rated UltraBullet tournament https://lichess.org/tournament/vE4dYm2T,Van't Kruijs Opening,0-1,Time forfeit,15+0,1560,,,,Bullet,Van't Kruijs Opening,2719,-444,1782.0
184975,1970,A02,Rated Bullet game,Bird Opening: Wagner-Zwitersch Gambit,1-0,Normal,120+1,2034,,,,Bullet,Bird Opening,1581,64,2002.0
184976,1725,D01,Rated Bullet game,Queen's Pawn Game: Chigorin Variation,1-0,Time forfeit,120+1,1754,,,,Bullet,Queen's Pawn Game,13096,29,1739.5
184983,2303,A45,Rated Bullet game,Trompowsky Attack: Classical Defense,1-0,Normal,60+0,2157,,,,Bullet,Trompowsky Attack,422,-146,2230.0
184997,1875,C00,Rated Bullet game,French Defense: Normal Variation,1-0,Normal,60+0,1867,,,,Bullet,French Defense,13036,-8,1871.0
185038,1733,D15,Rated Bullet tournament https://lichess.org/tournament/HRWV4Fr8,Slav Defense: Geller Gambit #2,1-0,Normal,30+0,1885,,,,Bullet,Slav Defense,2437,152,1809.0
185039,1743,D80,Rated Bullet game,GrÃ¼nfeld Defense,1-0,Normal,60+0,1771,,,,Bullet,GrÃ¼nfeld Defense,520,28,1757.0
185063,1725,B32,Rated Bullet game,Sicilian Defense: Loewenthal Variation,0-1,Time forfeit,120+1,1700,,,,Bullet,Sicilian Defense,27238,-25,1712.5
185065,2032,B41,Rated Bullet game,"Sicilian Defense: Kan Variation, MarÃ³czy Bind, RÃ©ti Variation",1-0,Normal,120+1,1869,,,,Bullet,Sicilian Defense,27238,-163,1950.5
185090,2069,C41,Rated Bullet game,Philidor Defense: Exchange Variation,0-1,Time forfeit,60+0,1930,,,,Bullet,Philidor Defense,5391,-139,1999.5
185094,1771,C00,Rated Bullet game,French Defense: Two Knights Variation,1-0,Normal,120+1,1732,,,,Bullet,French Defense,13036,-39,1751.5
185096,1920,A00,Rated Bullet game,Mieses Opening,0-1,Time forfeit,60+0,1926,,,,Bullet,Mieses Opening,881,6,1923.0
185102,1766,D20,Rated Bullet tournament https://lichess.org/tournament/HRWV4Fr8,Queen's Gambit Accepted,1-0,Time forfeit,30+0,2047,,,,Bullet,Queen's Gambit Accepted,2590,281,1906.5
185123,2008,B02,Rated Bullet game,Alekhine Defense: John Tracy Gambit,1-0,Time forfeit,60+0,1950,,,,Bullet,Alekhine Defense,2101,-58,1979.0
185131,1903,A10,Rated Bullet game,English Opening: Great Snake Variation,1-0,Normal,60+0,1949,,,,Bullet,English Opening,7494,46,1926.0
185140,2028,D31,Rated Bullet game,Semi-Slav Defense: Accelerated Move Order,0-1,Time forfeit,60+0,1929,,,,Bullet,Semi-Slav Defense,1054,-99,1978.5
185151,1966,A17,Rated Bullet game,"English Opening: Anglo-Indian Defense, Hedgehog System",0-1,Normal,60+0,1922,,,,Bullet,English Opening,7494,-44,1944.0
